Person_ID,Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Daily_Calorie_Requirement,Daily_Calorie_Consumed,Protein_Intake_g,Carbohydrate_Intake_g,Fat_Intake_g,Water_Intake_Liters,Diet_Type,Health_Status
P0028,22.0,Female,166.7,65.8,23.7,Moderately Active,2290,2498.0,141.3,325.1,70.3,2.9,Balanced,Healthy
P0029,41.0,Female,154.4,46.8,19.6,Sedentary,1417,1289.0,41.6,176.2,46.4,1.5,Vegetarian,Healthy
P0030,57.0,,169.6,76.4,26.6,Lightly Active,2203,2619.0,127.7,383.1,64.0,2.1,Vegan,Overweight
P0031,71.0,Female,152.7,71.0,30.4,Sedentary,1524,1884.0,139.4,21.0,138.0,1.7,Keto,Obese
P0032,50.0,Male,172.2,63.9,21.5,Sedentary,1784,1795.0,81.5,243.4,55.0,2.0,Balanced,Healthy
P0033,25.0,,176.9,54.6,17.4,Moderately Active,2367,1994.0,55.8,277.6,73.4,2.9,Balanced,Underweight
P0034,41.0,Female,159.8,42.8,16.8,Athlete,2206,1932.0,92.7,242.6,65.6,4.0,Balanced,Underweight
P0035,,Other,169.9,87.7,30.4,Moderately Active,2897,3633.0,201.2,48.1,292.8,2.9,Keto,Obese
P0036,37.0,Female,165.8,65.2,23.7,Moderately Active,2176,2143.0,53.6,317.3,73.3,2.7,Balanced,Healthy
P0037,77.0,Male,169.8,77.6,26.9,Sedentary,1807,1927.0,49.1,265.8,74.2,2.4,Balanced,Overweight
P0038,33.0,Male,174.2,90.2,29.7,Sedentary,2334,2727.0,111.1,349.7,98.2,2.0,Balanced,Overweight
P0039,67.0,Female,165.9,63.4,23.0,Lightly Active,1729,1600.0,152.7,147.7,44.2,2.3,High Protein,Healthy
P0040,69.0,Male,174.2,,28.1,Athlete,3181,3686.0,277.0,411.8,103.4,4.2,High Protein,Overweight
P0041,29.0,Male,182.6,80.8,24.2,Lightly Active,2588,2602.0,116.0,335.2,88.5,2.1,Vegetarian,Healthy
P0042,30.0,Female,180.2,60.9,18.8,Very Active,2482,2425.0,226.7,226.2,68.2,3.6,High Protein,Healthy
P0043,62.0,,171.6,85.1,28.9,Moderately Active,2635,3009.0,134.4,461.2,69.6,2.8,Vegan,Overweight
P0044,59.0,Female,168.9,74.8,26.2,Moderately Active,2181,,196.8,257.5,80.5,2.8,High Protein,Overweight
P0045,56.0,Male,173.8,80.1,26.5,Very Active,2894,3447.0,186.7,435.1,106.6,3.6,Balanced,Overweight
P0046,42.0,Female,165.1,61.6,22.6,Lightly Active,1852,1764.0,48.7,261.9,58.0,2.1,Balanced,Healthy
P0047,63.0,Male,184.6,78.8,23.1,Moderately Active,2592,2823.0,113.2,365.2,101.1,3.2,Mediterranean,Healthy
P0048,49.0,Female,168.8,43.6,15.3,Very Active,2004,1787.0,76.9,235.5,59.7,3.0,Vegetarian,Underweight
P0049,79.0,Female,160.8,70.9,27.4,Moderately Active,1952,,51.5,322.4,87.9,3.2,Vegetarian,Overweight
P0050,41.0,Male,168.2,69.1,24.4,Lightly Active,2184,2350.0,210.0,254.4,54.7,2.4,High Protein,Healthy
P0051,65.0,Other,179.1,80.6,25.1,Sedentary,2206,2545.0,120.2,309.7,91.7,2.0,Mediterranean,Overweight
P0052,64.0,Female,163.4,66.4,24.9,Very Active,2226,2020.0,126.5,56.2,143.2,3.5,Keto,Healthy
P0053,61.0,Female,163.5,68.2,25.5,Sedentary,1585,1800.0,149.2,197.7,45.8,1.9,High Protein,Overweight
P0054,26.0,Female,155.3,72.4,30.0,Very Active,2563,3298.0,87.8,533.3,90.4,3.7,Vegan,Obese
P0055,57.0,Female,160.3,,22.5,Sedentary,1477,1607.0,78.8,211.4,49.6,2.0,Balanced,Healthy
P0056,67.0,Female,163.0,71.1,26.8,Moderately Active,2046,2323.0,167.6,-6.0,186.3,3.0,Keto,Overweight
P0057,40.0,Male,175.3,83.8,27.3,Moderately Active,2829,3307.0,122.0,510.9,86.2,3.1,Vegan,Overweight
P0058,67.0,Male,179.8,80.6,24.9,Moderately Active,2559,2663.0,250.6,219.6,86.9,2.8,High Protein,Healthy
P0059,30.0,,160.5,71.3,27.7,Lightly Active,2260,2468.0,90.8,318.8,92.2,2.6,Balanced,Overweight
P0060,77.0,Male,189.9,88.9,24.7,Very Active,3025,2816.0,90.4,411.8,89.7,3.6,Vegetarian,Healthy
P0061,76.0,Male,173.0,89.9,30.0,Lightly Active,2326,2995.0,192.1,74.7,214.2,2.8,Keto,Obese
P0062,49.0,Male,160.8,82.7,32.0,Moderately Active,2619,3033.0,248.1,347.5,72.3,2.8,High Protein,Obese
P0063,67.0,Female,156.8,56.7,23.1,Sedentary,1401,1329.0,35.1,197.8,44.2,2.2,Vegetarian,Healthy
P0064,32.0,Male,175.2,75.4,24.6,Sedentary,2109,2169.0,103.1,269.6,75.3,1.9,Mediterranean,Healthy
P0065,53.0,Male,174.4,81.1,26.7,Sedentary,2053,2398.0,75.1,330.0,86.4,1.6,Balanced,Overweight
P0066,66.0,Female,151.3,74.3,32.5,Sedentary,1581,1969.0,159.9,215.8,51.8,1.7,High Protein,Obese
P0067,80.0,Male,180.2,67.3,20.7,Moderately Active,2171,2338.0,114.9,302.7,74.2,2.8,Balanced,Healthy
P0068,22.0,Female,153.1,59.6,25.4,Lightly Active,1894,2048.0,71.8,274.5,73.7,2.5,Mediterranean,Overweight
P0069,39.0,,178.2,77.0,24.2,Very Active,3025,2875.0,182.3,102.0,193.1,3.5,Keto,Healthy
P0070,33.0,Other,184.8,71.9,21.1,Lightly Active,2647,2719.0,108.2,379.3,85.5,2.6,Balanced,Healthy
P0071,58.0,Female,166.7,54.0,19.4,Lightly Active,1667,1776.0,80.8,250.5,50.1,2.1,Vegetarian,Healthy
P0072,27.0,Male,164.6,78.3,28.9,Very Active,3060,3460.0,174.3,462.0,101.7,3.9,Balanced,Overweight
P0073,41.0,,176.0,78.0,25.2,Very Active,3010,3165.0,149.4,413.8,101.4,3.8,Balanced,Overweight
P0074,35.0,Female,170.8,55.5,19.0,Athlete,2543,2632.0,229.9,290.4,61.2,4.5,High Protein,Healthy
P0075,66.0,Female,158.3,66.2,26.4,Very Active,2181,,110.2,326.0,90.1,3.7,Vegetarian,Overweight
P0076,35.0,Female,162.6,60.4,22.8,,2105,2010.0,96.4,246.4,70.9,2.5,Mediterranean,Healthy
P0077,24.0,Female,166.5,70.3,25.4,Very Active,2604,2755.0,187.3,63.9,194.5,3.6,Keto,Overweight
P0078,21.0,,176.1,71.3,23.0,Very Active,3052,3062.0,148.5,386.7,102.4,3.7,Balanced,Healthy
P0079,43.0,Male,177.0,82.1,26.2,Athlete,3408,,119.5,482.3,132.4,4.6,,Overweight
P0080,22.0,Male,185.4,72.1,21.0,Sedentary,2183,2146.0,62.2,337.5,60.8,2.2,Vegan,Healthy
P0081,77.0,Female,162.9,62.0,23.4,Athlete,2265,2046.0,75.9,275.4,71.2,4.3,Vegetarian,Healthy
P0082,72.0,Female,169.5,70.7,24.6,Moderately Active,2038,1925.0,73.5,271.4,60.6,2.9,Balanced,Healthy
P0083,,Male,191.6,83.1,22.6,Sedentary,2321,2269.0,220.1,177.8,75.3,2.3,,Healthy
P0084,52.0,,172.4,77.5,26.1,Sedentary,1991,2123.0,73.5,282.1,77.9,1.9,Balanced,Overweight
P0085,43.0,Male,166.0,78.6,28.5,Very Active,2922,3118.0,119.7,428.8,102.7,3.6,Balanced,Overweight
P0086,35.0,Male,172.2,66.3,22.4,Moderately Active,2487,2649.0,224.3,286.2,67.5,2.8,High Protein,Healthy
P0087,46.0,Female,158.7,80.4,31.9,Athlete,2819,3130.0,65.7,424.1,130.1,4.3,Mediterranean,Obese
P0088,40.0,Female,165.1,73.0,26.8,Sedentary,1753,2021.0,139.0,29.7,149.6,1.5,Keto,Overweight
P0089,70.0,Female,164.7,74.1,27.3,Lightly Active,1842,2159.0,81.7,308.7,66.4,2.2,Vegetarian,Overweight
P0090,31.0,Male,185.9,64.7,18.7,,2298,2128.0,169.0,212.1,67.1,2.3,High Protein,Healthy
P0091,32.0,Male,167.2,74.7,26.7,Lightly Active,2351,2537.0,43.9,368.6,98.6,2.4,Balanced,Overweight
P0092,66.0,Female,153.7,64.1,27.1,Moderately Active,1908,2186.0,106.0,247.0,86.0,2.8,Mediterranean,Overweight
P0093,50.0,Female,168.3,47.3,16.7,Moderately Active,1844,1407.0,42.8,200.5,48.2,2.5,Vegetarian,Underweight
P0094,42.0,Female,170.6,75.1,25.8,Sedentary,1786,2002.0,82.7,260.8,69.8,1.9,Mediterranean,Overweight
P0095,38.0,Female,167.4,80.5,28.7,Sedentary,1855,2180.0,131.1,272.6,62.8,2.2,Vegetarian,Overweight
P0096,34.0,Female,161.0,86.4,33.3,Sedentary,1918,2175.0,97.4,265.4,80.4,2.0,Mediterranean,Obese
P0097,40.0,Female,168.3,55.6,19.6,Very Active,2260,,224.1,233.9,53.6,3.7,High Protein,Healthy
P0098,74.0,Male,167.2,84.0,30.0,Sedentary,1915,2557.0,70.3,347.9,98.2,2.3,Vegetarian,Obese
P0099,60.0,,174.6,95.3,31.3,Sedentary,2235,2490.0,132.7,69.3,186.9,1.9,Keto,Obese
P0100,34.0,Male,174.6,78.3,25.7,Lightly Active,2451,,110.8,375.7,72.1,2.6,Vegan,Overweight
P0101,75.0,,176.1,77.2,24.9,Very Active,2660,2689.0,102.2,336.9,103.6,3.2,Balanced,Healthy
P0102,31.0,Female,165.8,47.0,17.1,Sedentary,1514,1350.0,91.3,15.0,102.8,1.7,Keto,Underweight
P0103,,Male,167.7,92.7,33.0,Sedentary,2249,2597.0,80.2,389.5,79.8,2.1,Vegan,Obese
P0104,37.0,Female,163.0,65.8,24.8,Moderately Active,2171,,188.2,196.5,62.0,2.9,High Protein,Healthy
P0105,47.0,Female,164.3,59.2,21.9,Athlete,2471,2272.0,44.2,332.9,84.9,4.5,Balanced,Healthy
P0106,36.0,Male,180.1,83.7,25.8,Moderately Active,2898,3200.0,242.3,375.1,81.2,2.9,High Protein,Overweight
P0107,70.0,Male,170.6,,28.9,Lightly Active,2250,2377.0,133.5,311.8,66.2,2.5,Vegetarian,Overweight
P0108,56.0,Female,167.2,68.6,24.5,Moderately Active,2104,2057.0,119.2,18.9,167.2,2.8,Keto,Healthy
P0109,,Male,173.2,80.6,26.9,Athlete,3011,3412.0,285.5,388.4,79.6,4.7,High Protein,Overweight
P0110,30.0,,176.9,96.8,30.9,Lightly Active,2838,3813.0,65.2,571.0,140.9,2.8,Balanced,Obese
P0111,35.0,Male,168.5,79.5,28.0,Lightly Active,2425,2843.0,253.9,259.9,87.6,2.6,High Protein,Overweight
P0112,40.0,Male,168.0,97.3,34.5,Sedentary,2365,3087.0,82.3,445.8,108.3,2.3,Balanced,Obese
P0113,79.0,Female,151.6,73.7,32.1,Athlete,2388,,110.9,357.4,98.9,4.3,Balanced,Obese
P0114,63.0,Female,157.3,70.8,28.6,Moderately Active,2041,2169.0,65.4,302.0,77.7,3.0,Balanced,Overweight
P0115,50.0,Female,155.0,65.5,27.3,Moderately Active,2041,2327.0,58.2,322.5,89.4,3.0,Vegetarian,Overweight
P0116,56.0,Female,149.9,76.6,34.1,Sedentary,1653,2033.0,66.0,286.0,69.4,1.9,Balanced,Obese
P0117,57.0,Female,162.0,68.1,25.9,Moderately Active,2065,2328.0,74.4,340.1,74.5,2.9,Balanced,Overweight
P0118,35.0,Male,170.6,71.5,24.6,Lightly Active,2291,2111.0,88.7,280.5,70.4,2.4,Vegetarian,Healthy
P0119,26.0,Female,177.8,55.7,17.6,Sedentary,1681,1342.0,56.9,170.6,48.0,2.0,Mediterranean,Underweight
P0120,50.0,Female,161.0,70.8,27.3,Very Active,2388,2561.0,65.0,331.8,108.2,3.4,Mediterranean,Overweight
P0121,49.0,Female,169.8,57.5,19.9,Lightly Active,1778,1750.0,156.5,170.6,49.1,2.4,High Protein,Healthy
P0122,78.0,Female,152.6,67.4,28.9,Lightly Active,1658,1756.0,56.9,232.4,66.5,2.3,Balanced,Overweight
P0123,71.0,Male,177.4,93.2,29.6,,3080,3629.0,114.8,522.1,120.2,3.4,Balanced,Overweight
P0124,34.0,Male,169.8,83.8,29.1,Sedentary,2199,2313.0,87.0,327.2,72.9,2.0,Balanced,Overweight
P0125,36.0,Male,182.4,73.7,22.2,Very Active,3013,3277.0,180.6,139.8,221.7,3.6,Keto,Healthy
P0126,44.0,Male,181.8,95.4,28.9,Moderately Active,3083,3636.0,279.9,401.1,101.3,3.2,High Protein,Overweight
P0127,23.0,Female,160.7,70.7,27.4,Very Active,2587,3008.0,118.3,460.4,77.0,3.6,Vegan,Overweight
P0128,,Female,160.6,76.9,29.8,Very Active,2469,2956.0,139.3,408.7,84.9,3.7,Balanced,Overweight
P0129,73.0,,174.4,60.1,19.8,Very Active,2270,2067.0,88.0,324.0,46.5,3.8,Vegan,Healthy
P0130,54.0,Female,164.3,70.1,26.0,Lightly Active,1885,2160.0,77.3,304.3,70.4,2.3,Vegetarian,Overweight
P0131,51.0,Male,170.9,90.1,30.8,Lightly Active,2511,3295.0,147.7,385.8,129.0,2.7,Mediterranean,Obese
P0132,37.0,Male,192.2,98.0,26.5,Very Active,3646,3897.0,235.1,40.4,310.5,3.7,Keto,Overweight
P0133,42.0,Male,188.9,66.6,18.7,Sedentary,1978,2011.0,169.3,225.7,47.9,2.1,High Protein,Healthy
P0134,21.0,Male,175.1,92.2,30.1,Moderately Active,3169,3797.0,268.4,26.6,290.8,3.2,Keto,Obese
P0135,27.0,Female,160.1,81.9,32.0,,1901,2298.0,101.9,319.5,68.0,2.0,Vegetarian,Obese
P0136,27.0,Male,184.5,60.3,17.7,Sedentary,1954,1724.0,157.8,185.7,38.9,2.1,High Protein,Underweight
P0137,41.0,Female,168.9,70.9,24.9,Lightly Active,1992,2007.0,46.4,318.0,61.0,2.1,Vegan,Healthy
P0138,38.0,Female,168.8,72.2,25.3,Sedentary,1768,1881.0,169.2,165.6,60.2,2.0,High Protein,Overweight
P0139,28.0,Male,181.1,77.2,23.5,Athlete,3482,3786.0,291.9,443.6,93.7,4.5,High Protein,Healthy
P0140,44.0,Other,160.1,68.4,26.7,Very Active,2989,3221.0,223.3,60.5,231.8,3.7,Keto,Overweight
P0141,33.0,Other,164.8,79.4,29.2,Lightly Active,2650,3137.0,130.8,430.1,99.3,2.3,Vegetarian,Overweight
P0142,43.0,Male,169.2,75.1,26.2,Moderately Active,2577,3081.0,117.9,397.3,113.3,2.9,Balanced,Overweight
P0143,78.0,Female,159.2,65.8,26.0,Moderately Active,1878,2219.0,167.6,257.5,57.6,2.6,High Protein,Overweight
P0144,78.0,Male,176.7,91.1,29.2,Very Active,2957,3405.0,181.2,403.7,118.4,3.5,Mediterranean,Overweight
P0145,47.0,Male,181.3,99.0,30.1,Moderately Active,3128,,194.4,570.3,107.0,3.1,Vegan,Obese
P0146,80.0,,173.4,88.5,29.4,Sedentary,1982,2289.0,89.0,310.5,76.8,2.2,Balanced,Overweight
P0147,66.0,Female,162.8,68.7,25.9,Lightly Active,1789,2002.0,144.8,0.8,157.7,2.6,,Overweight
P0148,,Female,153.3,60.6,25.8,Moderately Active,2077,2266.0,131.2,318.3,52.0,2.9,,Overweight
P0149,24.0,,167.6,70.2,25.0,Athlete,3224,3523.0,292.4,364.0,99.7,4.2,High Protein,Overweight
P0150,33.0,Male,174.5,91.8,30.1,Lightly Active,2706,3471.0,269.0,363.1,104.7,2.5,High Protein,Obese
P0151,52.0,Female,157.0,65.2,26.5,Very Active,2263,2588.0,77.3,327.1,107.8,4.0,Mediterranean,Overweight
P0152,75.0,Male,180.4,94.4,29.0,Very Active,3093,3519.0,153.2,471.4,113.4,3.3,Vegetarian,Overweight
P0153,33.0,Male,169.6,77.5,26.9,Moderately Active,2717,3118.0,111.1,452.7,95.9,2.7,Balanced,Overweight
P0154,57.0,Female,162.5,60.5,22.9,Very Active,2180,2299.0,121.0,280.6,77.0,3.5,Mediterranean,Healthy
P0155,79.0,Other,174.3,79.3,26.1,Lightly Active,2385,2771.0,75.7,384.8,103.2,2.6,Vegetarian,Overweight
P0156,29.0,Male,174.7,79.8,26.1,,2518,2683.0,203.1,292.3,77.9,2.6,High Protein,Overweight
P0157,52.0,Female,159.6,54.6,21.4,Very Active,2108,2050.0,197.1,187.6,56.8,3.5,,Healthy
P0158,66.0,Female,162.5,85.6,32.4,Sedentary,1748,,60.7,245.2,90.5,1.7,Mediterranean,Obese
P0159,38.0,Male,182.5,74.7,22.4,Lightly Active,2405,2423.0,134.8,306.8,73.0,2.4,Balanced,Healthy
P0160,67.0,Female,163.5,76.7,28.7,Moderately Active,2129,2255.0,74.3,331.8,70.1,2.5,Vegetarian,Overweight
P0161,60.0,Male,181.0,,27.6,Lightly Active,2515,2928.0,98.6,389.4,108.4,2.6,Mediterranean,Overweight
P0162,53.0,Female,164.4,54.2,20.1,Athlete,2334,2150.0,53.9,312.4,76.1,4.3,Vegetarian,Healthy
P0163,65.0,Female,172.2,57.3,19.3,Athlete,2336,2229.0,84.1,304.7,74.9,4.2,Vegetarian,Healthy
P0164,,Female,167.5,62.8,22.4,Moderately Active,2170,2292.0,126.4,296.7,66.6,2.6,Balanced,Healthy
P0165,49.0,Male,170.6,72.9,25.0,Lightly Active,2208,2335.0,54.6,333.7,86.9,2.3,Balanced,Overweight
P0166,58.0,Female,166.4,84.3,30.4,Moderately Active,2312,2924.0,212.9,0.3,230.1,2.6,Keto,Obese
P0167,23.0,Male,175.9,78.2,25.3,Lightly Active,2543,3022.0,209.9,-8.6,246.3,2.5,Keto,Overweight
P0168,41.0,Male,172.1,90.0,30.4,Sedentary,2265,2841.0,104.3,454.4,67.4,2.7,Vegan,Obese
P0169,44.0,,169.2,86.4,30.2,Moderately Active,2803,3582.0,90.9,513.2,129.5,2.9,Balanced,Obese
P0170,37.0,Female,168.4,68.6,24.2,Very Active,2490,2635.0,94.6,306.6,114.5,3.4,Mediterranean,Healthy
P0171,42.0,Female,155.5,66.6,27.5,Sedentary,1636,1772.0,91.1,221.9,57.8,2.0,Vegetarian,Overweight
P0172,19.0,,182.9,92.4,27.6,Very Active,3616,4111.0,200.9,516.1,138.1,3.4,Vegetarian,Overweight
P0173,26.0,Female,162.9,57.1,21.5,Moderately Active,2120,2039.0,74.7,275.9,70.8,2.6,,Healthy
P0174,45.0,Male,171.4,98.6,33.6,Sedentary,2372,2757.0,66.5,363.0,115.4,2.0,Mediterranean,Obese
P0175,70.0,Female,158.7,54.7,21.7,Moderately Active,1770,1661.0,69.6,237.6,48.0,2.9,Vegetarian,Healthy
P0176,78.0,Male,177.4,90.8,28.9,Sedentary,2056,2339.0,74.1,316.8,86.2,2.1,Balanced,Overweight
P0177,55.0,Female,150.8,52.8,23.2,Lightly Active,1602,1696.0,154.9,155.4,50.5,2.3,,Healthy
P0178,20.0,Male,153.7,76.9,32.6,Moderately Active,2701,3562.0,179.3,510.0,89.4,3.1,Vegan,Obese
P0179,37.0,Female,159.1,66.9,26.4,Very Active,2413,2688.0,191.3,-18.9,222.0,3.8,Keto,Overweight
P0180,23.0,Male,185.1,75.4,22.0,Lightly Active,2552,2487.0,158.2,75.1,172.6,2.6,Keto,Healthy
P0181,56.0,Male,167.6,80.1,28.5,Very Active,2843,3278.0,286.0,333.2,89.0,3.3,High Protein,Overweight
P0182,50.0,Male,168.2,67.7,23.9,Lightly Active,2088,2205.0,76.4,301.6,77.0,2.0,Vegetarian,Healthy
P0183,72.0,Female,158.5,57.8,23.0,Sedentary,1394,,21.8,197.7,49.7,1.6,Balanced,Healthy
P0184,18.0,Female,167.4,70.0,25.0,Sedentary,1843,2017.0,46.5,271.0,83.0,2.2,Mediterranean,Overweight
P0185,54.0,Male,176.6,82.1,26.3,,2075,2344.0,143.0,89.8,157.0,1.9,Keto,Overweight
P0186,23.0,Female,155.4,58.3,24.1,Lightly Active,1882,1861.0,61.2,279.7,55.3,2.5,Vegan,Healthy
P0187,,Female,166.1,80.4,29.1,Very Active,2479,,80.6,424.2,94.0,3.4,Vegetarian,Overweight
P0188,51.0,Female,163.7,54.5,20.3,Lightly Active,1702,1703.0,82.2,247.0,43.0,2.4,Vegan,Healthy
P0189,64.0,Female,176.0,63.7,20.6,Lightly Active,1794,1654.0,68.1,230.7,51.0,2.5,Vegetarian,Healthy
P0190,32.0,Male,183.7,75.6,22.4,Very Active,3107,2899.0,90.9,464.6,75.2,3.3,Vegan,Healthy
P0191,62.0,Male,177.5,88.4,28.1,Lightly Active,2437,2888.0,101.1,432.5,83.7,2.7,Balanced,Overweight
P0192,43.0,Female,156.9,66.7,27.1,Moderately Active,2115,2292.0,103.2,297.3,76.7,2.7,Balanced,Overweight
P0193,74.0,Female,157.5,66.7,26.9,Lightly Active,1694,1791.0,105.4,15.4,145.3,2.2,Keto,Overweight
P0194,31.0,Female,157.0,47.2,19.1,Lightly Active,1700,1778.0,55.0,259.5,57.8,2.5,Vegetarian,Healthy
P0195,75.0,Male,171.8,91.5,31.0,Moderately Active,2655,3374.0,115.5,493.7,104.1,3.1,Vegetarian,Obese
P0196,71.0,Male,176.7,80.5,25.8,Sedentary,1934,2204.0,191.3,234.1,55.8,2.1,High Protein,Overweight
P0197,24.0,Female,165.4,66.5,24.3,Lightly Active,2023,2023.0,98.5,289.0,52.5,2.2,Vegan,Healthy
P0198,63.0,Female,171.1,59.8,20.4,Lightly Active,1730,1892.0,157.7,183.4,58.6,2.3,High Protein,Healthy
P0199,80.0,Female,147.8,59.0,27.0,Lightly Active,1519,1622.0,152.0,157.9,42.5,2.5,High Protein,Overweight
P0200,75.0,Female,169.7,82.8,28.8,Moderately Active,2192,2469.0,33.0,369.9,95.3,3.3,Vegetarian,Overweight
P0201,48.0,Female,162.3,48.8,18.5,Moderately Active,1850,1873.0,183.5,163.7,53.8,3.1,High Protein,Healthy
P0202,41.0,Male,171.7,70.6,23.9,Moderately Active,2519,2278.0,101.1,308.2,71.2,2.7,Balanced,Healthy
P0203,76.0,Male,195.6,97.7,25.5,Moderately Active,2952,3282.0,152.1,411.5,114.2,2.8,Balanced,Overweight
P0204,48.0,Female,157.5,72.9,29.4,Lightly Active,1927,2249.0,199.8,214.6,65.7,2.8,High Protein,Overweight
P0205,46.0,Female,164.9,63.1,23.2,Athlete,2551,,113.3,321.8,88.4,4.4,Mediterranean,Healthy
P0206,59.0,,184.8,,27.7,Athlete,3622,4278.0,154.5,609.1,136.0,4.3,,Overweight
P0207,49.0,Male,176.7,86.0,27.5,Moderately Active,2806,3217.0,130.1,443.6,102.4,2.9,Balanced,Overweight
P0208,34.0,Female,169.6,68.1,23.7,Sedentary,1747,1839.0,73.6,230.9,69.0,1.7,Balanced,Healthy
P0209,31.0,,174.7,82.9,27.2,Lightly Active,2559,2995.0,132.5,385.5,102.6,2.7,Balanced,Overweight
P0210,57.0,Male,162.8,86.6,32.7,Sedentary,2047,2604.0,90.8,383.0,78.7,2.3,Vegetarian,Obese
P0211,53.0,Female,157.3,71.8,29.0,Lightly Active,1883,2188.0,93.6,268.7,82.1,2.7,Mediterranean,Overweight
P0212,75.0,Female,159.1,89.8,35.5,Sedentary,1735,2210.0,170.7,247.9,59.5,2.2,High Protein,Obese
P0213,65.0,Female,149.7,65.4,29.2,Moderately Active,1914,,108.3,323.9,48.7,2.8,Vegan,Overweight
P0214,41.0,Male,177.9,79.5,25.1,Sedentary,2129,2416.0,126.5,70.9,180.7,2.2,Keto,Overweight
P0215,62.0,Female,158.6,54.8,21.8,Athlete,2237,2098.0,50.2,282.8,85.1,4.5,Mediterranean,Healthy
P0216,80.0,Male,168.6,,29.1,Sedentary,1860,2183.0,88.2,276.0,80.7,2.2,Vegetarian,Overweight
P0217,71.0,Male,171.8,101.3,34.3,Lightly Active,2567,3024.0,148.0,443.1,73.3,2.7,Vegan,Obese
P0218,44.0,Female,164.2,76.1,28.2,Very Active,2535,,118.1,340.5,114.5,3.5,Mediterranean,Overweight
P0219,42.0,Female,161.9,60.8,23.2,Lightly Active,1828,1736.0,89.3,78.9,118.1,2.2,Keto,Healthy
